id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1078,*UT/Hyde Park Craftsman Apartment,4635658,Tracy,,78705,30.30002,-97.73637,Entire home/apt,102,1,232,2021-11-21,1.44,2,0,5,
2265,Zen-East in the Heart of Austin (monthly rental),2466,Paddy,,78702,30.27752,-97.71377,Entire home/apt,179,7,26,2021-07-02,0.17,3,0,2,
5245,"Eco friendly, Colorful, Clean, Cozy monthly share",2466,Paddy,,78702,30.27614,-97.7132,Private room,114,30,9,2018-03-14,0.06,3,0,0,
5456,"Walk to 6th, Rainey St and Convention Ctr",8028,Sylvia,,78702,30.26057,-97.73441,Entire home/apt,104,2,578,2021-11-18,3.72,1,345,40,
5769,NW Austin Room,8186,Elizabeth,,78729,30.45697,-97.78422,Private room,39,1,264,2021-07-03,1.86,1,0,6,
6413,Gem of a Studio near Downtown,13879,Todd,,78704,30.24885,-97.73587,Entire home/apt,109,3,117,2021-07-01,0.80,1,0,4,
6448,"Secluded Studio @ Zilker - King Bed, Bright & Airy",14156,Amy,,78704,30.26034,-97.76487,Entire home/apt,149,3,262,2021-11-30,2.10,1,213,29,
8502,Woodland Studio Lodging,25298,Karen,,78741,30.23466,-97.73682,Entire home/apt,44,3,48,2021-11-13,0.33,1,54,2,
13035,Historic house in highly walkable East Austin,50793,Molly,,78702,30.26098,-97.73072,Entire home/apt,150,30,12,2017-03-18,0.09,2,295,0,
21126,Quiet Mid Century Modern Retreat with Patio and Yard,80406,Dani,,78704,30.24417,-97.73988,Entire home/apt,200,1,133,2021-11-24,1.23,12,99,23,
22166,Close in Hill country views NW,84906,Stacey,,78759,30.38794,-97.76358,Entire home/apt,153,30,11,2021-01-10,0.08,1,164,1,
22828,Garage Apartment near S Congress,56488,David,,78741,30.23614,-97.73225,Entire home/apt,58,31,45,2021-11-01,0.31,1,161,7,
40285,"OUTDOOR LIVING IN AUSTIN, TX",170787,Robbie,,78731,30.35123,-97.76207,Entire home/apt,350,2,33,2021-10-25,0.25,1,336,3,
47572,Cozy Home in  N. Austin for Longer Stays,215917,Belinda,,78758,30.37783,-97.70749,Private room,35,30,5,2021-03-28,0.15,1,271,1,
50318,Scooby Doo House,12409,Flip,,78705,30.28588,-97.75145,Entire home/apt,117,30,31,2021-11-20,0.23,2,365,1,
57187,"Zilker Park, Fun, Funky, Colorful, Peaceful Haven",272156,Lois,,78704,30.25756,-97.76995,Entire home/apt,88,1,829,2021-12-06,6.22,2,250,123,
69303,Colorful and Quirky Zilker Park Townhouse,272156,Lois,,78704,30.26146,-97.77276,Entire home/apt,131,2,152,2021-11-27,1.17,2,324,40,
69352,Enchanting Zilker Cottage~Downtown,347068,Particular Properties,,78704,30.25811,-97.76368,Entire home/apt,299,2,390,2018-05-24,2.94,2,365,0,
69810,"Live Beneath Live Oaks in a Bright, Intimate House",82762,Dolina,,78704,30.2309,-97.76619,Entire home/apt,129,2,442,2021-12-06,3.37,1,7,1,
70258,South 1st Garage Apartment - Ideally Central,355348,Jason,,78704,30.23644,-97.76611,Entire home/apt,225,2,36,2021-10-25,0.70,1,78,5,
70812,1 Bedroom Apt; Above the Studio,268988,Stephanie,,78704,30.24648,-97.74913,Entire home/apt,150,2,160,2021-11-28,1.22,1,0,16,
72833,"Private, Detached, Central Austin Cottage",378744,Ellen And Andy,,78731,30.313,-97.75066,Entire home/apt,89,3,379,2021-12-06,2.90,1,108,25,
73005,3BR Convenient Gated Townhome w/ Pool Access!,128514,Vivian,,78727,30.41419,-97.73183,Entire home/apt,280,2,39,2021-11-14,0.30,1,360,12,
73289,Simple 2/2 in Central Austin,382510,Christina,,78705,30.29016,-97.74478,Entire home/apt,97,30,53,2021-07-31,0.41,2,227,5,
74318,Private Guest House 78704,387918,Amy & Justin,,78704,30.24473,-97.77923,Entire home/apt,150,2,235,2021-10-31,1.80,2,199,25,
75957,Charming 1 Bedroom Cottage Apt In Tarrytown,404260,Kelly,,78703,30.29033,-97.76886,Entire home/apt,119,2,366,2021-11-22,2.80,1,324,52,
76497,Chic 2 Bdrm DwnTwn where Airbnb CEO stayed twice.,177441,Ash,,78703,30.27678,-97.75805,Entire home/apt,151,2,236,2021-11-02,1.80,2,365,27,
76501,Upstairs Flat in Central Austin,408534,Kevin And Bob,,78722,30.29192,-97.71939,Entire home/apt,110,2,202,2021-12-05,1.54,1,147,22,
76911,EastSideLavishness- A Stay of Comfort and Joy,394012,Cole,,78702,30.26945,-97.72491,Entire home/apt,297,2,164,2021-12-05,2.02,1,308,22,
76925,Comfy Digs in East Austin,411190,Lynn,,78702,30.25505,-97.72552,Entire home/apt,400,2,16,2019-05-27,0.12,1,0,0,
76996,The Travis Heights Tree House,1665428,Krista,,78704,30.23872,-97.74521,Entire home/apt,80,20,44,2021-05-22,0.34,1,206,2,
77347,Room or rooms,382265,Leslie,,78733,30.33877,-97.882,Private room,104,2,0,,,1,315,0,
77639,Sweet South Austin Spot,416628,Carlos,,78704,30.25023,-97.77985,Entire home/apt,179,2,38,2021-11-28,0.44,1,343,16,
78035,Modern Gem featured by Dwell. Pool + HotTub.,419192,Keith And Shannon,,78704,30.25659,-97.76772,Entire home/apt,750,4,90,2020-04-23,1.55,1,0,0,
78127,Downtown Luxury Home/ Clean/ PERFECT LOCATION,419707,Julia,,78701,30.27672,-97.74799,Entire home/apt,240,1,6,2019-05-26,0.05,3,0,0,
78422,Living the Dream on Richardine (East Austin),421002,E. Dixie,,78702,30.27443,-97.71135,Entire home/apt,75,7,4,2021-07-01,0.03,1,21,3,
78831,Cool Hyde Park efficiency apartment,423840,Marcus,,78751,30.31106,-97.72373,Entire home/apt,109,2,357,2021-11-01,2.73,1,69,18,
78884,Beautiful Zilker Park Condo next to Downtown!,2157243,Sean,,78704,30.26126,-97.77358,Entire home/apt,107,2,160,2021-11-23,1.22,6,252,18,
79603,Beautiful Bouldin Cottage - 78704,428883,Beau,,78704,30.24948,-97.75896,Entire home/apt,182,2,114,2021-11-18,0.87,1,240,34,
79768,East-Side Bungalow,430091,Shawn,,78702,30.26035,-97.73253,Entire home/apt,225,4,34,2019-03-11,0.28,2,0,0,
80725,Central Austin Home,436771,Merlyn,,78703,30.28251,-97.76874,Entire home/apt,150,30,0,,,1,0,0,
82033,"Clean and quiet 3/2, in Mueller area.",445746,Kimberly,,78723,30.30393,-97.68872,Entire home/apt,300,2,4,2021-05-30,0.09,1,179,1,
83643,Fun Central Austin Convenience,456230,Michele,,78752,30.32395,-97.71851,Private room,57,2,217,2021-11-29,1.74,1,346,37,
84771,Campus Retreat,321037,Lucien,,78705,30.29386,-97.74188,Entire home/apt,81,2,16,2018-01-03,0.31,2,0,0,
89475,"2 Living Rooms, Lots of Big Beds! 3 king, 2 queen",487072,Greg & Amanda,,78757,30.35681,-97.72618,Entire home/apt,329,30,116,2020-04-11,1.03,14,0,0,
90898,"Artsy, Cozy, and Fun; Our Travis Heights 2-1",236847,Lester,,78704,30.24498,-97.74935,Entire home/apt,161,1,101,2021-11-22,0.78,1,362,19,
104099,Zilker Guesthouse,213651,Daniel,,78704,30.25433,-97.77582,Entire home/apt,101,2,187,2021-12-07,1.50,2,21,19,
104386,South Austin Cottage 78704 - 2BR,543367,Mary,,78704,30.24645,-97.74701,Entire home/apt,150,31,134,2021-10-03,1.04,2,259,6,
113779,Spacious 1BR w/ Office in Hyde Park,578211,Pete,,78751,30.3027,-97.72945,Entire home/apt,126,20,90,2021-10-10,0.75,9,314,12,
113791,Avenue G Guesthouse in Hyde Park,578249,Larry And Susan,,78751,30.30244,-97.73148,Private room,60,30,12,2018-06-22,0.10,2,254,0,
116014,SXSW LAST MINUTE Downtown Space,419707,Julia,,78701,30.27521,-97.74793,Entire home/apt,259,1,2,2019-04-14,0.02,3,0,0,
